State,Population,Population2018,Population2010,Capital
California,39747267,39557045,37320903,Sacramento
Texas,29087070,28701845,25242679,Austin
Florida,21646155,21299325,18845785,Tallahassee
New York,19491339,19542209,19400080,Albany
Pennsylvania,12813969,12807060,12711158,Harrisburg
Illinois,12700381,12741080,12840762,Springfield
Ohio,11718568,11689442,11539327,Columbus
Georgia,10627767,10519475,9711810,Atlanta
North Carolina,10497741,10383620,9574293,Raleigh
Michigan,10020472,9995915,9877535,Lansing
New Jersey,8922547,8908520,8799624,Trenton
Virginia,8571946,8517685,8023680,Richmond
Washington,7666343,7535591,6742902,Olympia
Arizona,7275070,7171646,6407774,Phoenix
Massachusetts,6939373,6902149,6566431,Boston
Tennessee,6833793,6770010,6355301,Nashville-Davidson
Indiana,6718616,6691878,6490436,Indianapolis
Missouri,6147861,6126452,5995976,Jefferson City
Maryland,6062917,6042718,5788642,Annapolis
Wisconsin,5832661,5813568,5690479,Madison
Colorado,5770545,5695564,5048281,Denver
Minnesota,5655925,5611179,5310843,St. Paul
South Carolina,5147111,5084127,4635656,Columbia
Alabama,4898246,4887871,4785448,Montgomery
Louisiana,4652581,4659978,4544532,Baton Rouge
Kentucky,4484047,4468402,4348200,Frankfort
Oregon,4245901,4190713,3837532,Salem
Oklahoma,3948950,3943079,3759632,Oklahoma City
Connecticut,3567871,3572665,3579125,Hartford
Utah,3221610,3161105,2775334,Salt Lake City
Iowa,3167997,3156145,3050767,Des Moines
Nevada,3087025,3034392,2702464,Carson City
Arkansas,3026412,3013825,2921978,Little Rock
Mississippi,2987895,2986530,2970536,Jackson
Kansas,2910931,2911505,2858213,Topeka
New Mexico,2096034,2095428,2064588,Santa Fe
Nebraska,1940919,1929268,1829536,Lincoln
West Virginia,1791951,1805832,1854214,Charleston
Idaho,1790182,1754208,1570773,Boise City
Hawaii,1416589,1420491,1363963,Honolulu
New Hampshire,1363852,1356458,1316777,Concord
Maine,1342097,1338404,1327632,Augusta
Montana,1074532,1062305,990722,Helena
Rhode Island,1056738,1057315,1053938,Providence
Delaware,975033,967171,899595,Dover
South Dakota,892631,882235,816165,Pierre
North Dakota,760900,760077,674710,Bismarck
Alaska,735720,737438,713906,Juneau
District of Columbia,711571,702455,605085,"Washington, D.C."
Vermont,627180,626299,625880,Montpelier
Wyoming,572381,577737,564483,Cheyenne
